"","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA","dissim","P","C","L","N","A","I","SU","FU","H","M","S","D","remark","Lv"
"116",NA,0.00261,0,0.00696,0.61862,5.55,0.669590643,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
"117",NA,NA,NA,NA,0.64712,6.57,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,1,"D",1
"118",0.00087,0,NA,0.00348,0.6565,5.69,0.549839228,0,0,1,0,0,0,0,0,0,0,0,0,0,"C",1
"119",NA,NA,NA,NA,0.71047,5.74,0.745980707,0,0,0,0,0,0,0,0,1,0,0,0,0,"FU",1
"120",0.0032625,0.0045675,0.00522,0.00783,0.67624,5.65,0.587662338,0,0,1,0,0,0,0,0,0,0,0,0,0,"C",1
"121",0.00174,0.005655,0,NA,0.67,5.6,0.590909091,0,0,0,0,0,1,0,0,0,0,0,0,0,"A",1
"122",NA,0.0054375,NA,NA,0.68253,5.79,0.493377483,0,0,0,0,1,0,0,0,0,0,0,0,0,"N",1
"123",NA,0,NA,0.01131,NA,5.53,0.568181818,0,0,0,0,0,0,1,0,0,0,0,0,0,"I",1
"124",0,0.34539,0.96222,1.554255,0.65155,5.73,0.529230769,0,0,0,0,0,0,1,0,0,0,0,0,0,"1",1
"125",0.0097875,0.3295125,1.00659,1.43202,0.64415,5.81,0.56119403,0,0,0,0,0,1,0,0,0,0,0,0,0,"1",1
"126",0.0050025,0.364095,1.054005,NA,0.64225,5.59,0.563291139,0,1,0,0,0,0,0,0,0,0,0,0,0,"1",1
"127",0.0028275,0.325815,1.00137,1.42506,0.60993,5.63,0.6875,0,0,0,0,0,0,0,1,0,0,0,0,0,"1",1
"128",0.0002175,0.2958,1.879635,1.288905,0.67806,5.64,0.48603352,0,0,0,0,0,0,0,0,0,1,0,0,0,"1",1
"129",0.0006525,0.396285,1.107075,1.699545,0.65873,5.71,0.523809524,0,0,0,0,0,0,1,0,0,0,0,0,0,"1",1
"130",0.00174,0.4169475,1.157535,0.98745,0.62915,6.72,0.55393586,0,0,0,0,0,0,0,0,0,0,0,1,0,"1",1
